Company;Tot Comp
3M;11730000
Aecom Technology;6706600
AGCO;7561800
Agilent Technologies;7773800
Arrow Electronics;5825000
Ball;7121000
Boeing;15606200
Burlington Northern;12013300
Crown Holdings;10767700
CSX;7090300
Danaher;4367300
Deere;14387900
Eaton;6599700
Emerson Electric;6380000
Expeditors Int’l;6028600
Fluor;10705800
General Dynamics;17558000
General Electric;4935700
Goodrich;9601900
Honeywell Int’l;14309000
Illinois Tool Works;9345800
ITT;10101500
 Jabil Circuit;4809300
 Jacobs Engineering;6440700
 L-3 Communications;12318900
Lockheed Martin;17845400
 Manpower;10326000
 MDU Resources;2211300
 MeadWestvaco;5503600
 Navistar Int’l;6535500
 Norfolk Southern;11893000
 OshKosh;3109000
 Owens-Illinois;5571400
 Paccar;10826200
 Rockwell Automation;5995800
 Ryder System;4291200
 Sanmina-SCI;2029400
 Shaw Group;8077100
 Sherwin-Williams;5310700
 SPX;9252000
 Textron;9182300
 Timken;5204300
 Waste Management;6045600
