"","score","asfeeling"
"1",95,"Strongly Favorable"
"2",97,"Strongly Favorable"
"3",77,"Strongly Favorable"
"4",99,"Strongly Favorable"
"5",91,"Strongly Favorable"
"6",100,"Strongly Favorable"
"7",100,"Strongly Favorable"
"8",20,"Strongly unfavorable"
"9",100,"Strongly Favorable"
"10",55,"Lightly Favorable"
"11",91,"Strongly Favorable"
"12",62,"Lightly Favorable"
"13",55,"Lightly Favorable"
"14",90,"Strongly Favorable"
"15",69,"Lightly Favorable"
"16",51,"Lightly Favorable"
"17",93,"Strongly Favorable"
"18",4,"Strongly unfavorable"
"19",91,"Strongly Favorable"
"20",56,"Lightly Favorable"
"21",19,"Strongly unfavorable"
"22",72,"Lightly Favorable"
"23",26,"Unfavorable"
"24",95,"Strongly Favorable"
"25",77,"Strongly Favorable"
"26",82,"Strongly Favorable"
"27",90,"Strongly Favorable"
"28",81,"Strongly Favorable"
"29",82,"Strongly Favorable"
"30",100,"Strongly Favorable"
"31",100,"Strongly Favorable"
"32",51,"Lightly Favorable"
"33",25,"Strongly unfavorable"
"34",100,"Strongly Favorable"
"35",67,"Lightly Favorable"
"36",74,"Lightly Favorable"
"37",59,"Lightly Favorable"
"38",19,"Strongly unfavorable"
"39",64,"Lightly Favorable"
"40",87,"Strongly Favorable"
"41",52,"Lightly Favorable"
"42",50,"Unfavorable"
"43",91,"Strongly Favorable"
"44",50,"Unfavorable"
"45",0,"Strongly unfavorable"
"46",11,"Strongly unfavorable"
"47",100,"Strongly Favorable"
"48",100,"Strongly Favorable"
"49",76,"Strongly Favorable"
"50",100,"Strongly Favorable"
"51",99,"Strongly Favorable"
"52",89,"Strongly Favorable"
"53",71,"Lightly Favorable"
"54",50,"Unfavorable"
"55",100,"Strongly Favorable"
"56",86,"Strongly Favorable"
"57",75,"Lightly Favorable"
"58",94,"Strongly Favorable"
"59",100,"Strongly Favorable"
"60",63,"Lightly Favorable"
"61",91,"Strongly Favorable"
"62",80,"Strongly Favorable"
"63",50,"Unfavorable"
"64",90,"Strongly Favorable"
"65",93,"Strongly Favorable"
"66",60,"Lightly Favorable"
"67",100,"Strongly Favorable"
"68",87,"Strongly Favorable"
"69",79,"Strongly Favorable"
"70",75,"Lightly Favorable"
"71",90,"Strongly Favorable"
"72",50,"Unfavorable"
"73",4,"Strongly unfavorable"
"74",80,"Strongly Favorable"
"75",90,"Strongly Favorable"
"76",50,"Unfavorable"
"77",97,"Strongly Favorable"
"78",70,"Lightly Favorable"
"79",50,"Unfavorable"
"80",64,"Lightly Favorable"
"81",69,"Lightly Favorable"
"82",70,"Lightly Favorable"
"83",49,"Unfavorable"
"84",58,"Lightly Favorable"
"85",57,"Lightly Favorable"
"86",94,"Strongly Favorable"
"87",100,"Strongly Favorable"
"88",67,"Lightly Favorable"
"89",95,"Strongly Favorable"
"90",61,"Lightly Favorable"
"91",100,"Strongly Favorable"
"92",91,"Strongly Favorable"
"93",48,"Unfavorable"
"94",69,"Lightly Favorable"
"95",75,"Lightly Favorable"
"96",70,"Lightly Favorable"
"97",81,"Strongly Favorable"
"98",77,"Strongly Favorable"
"99",98,"Strongly Favorable"
"100",100,"Strongly Favorable"
"101",75,"Lightly Favorable"
"102",72,"Lightly Favorable"
"103",50,"Unfavorable"
"104",78,"Strongly Favorable"
"105",50,"Unfavorable"
"106",99,"Strongly Favorable"
"107",88,"Strongly Favorable"
"108",41,"Unfavorable"
"109",90,"Strongly Favorable"
"110",64,"Lightly Favorable"
"111",51,"Lightly Favorable"
"112",66,"Lightly Favorable"
"113",45,"Unfavorable"
"114",52,"Lightly Favorable"
"115",36,"Unfavorable"
"116",80,"Strongly Favorable"
"117",100,"Strongly Favorable"
"118",100,"Strongly Favorable"
"119",30,"Unfavorable"
"120",84,"Strongly Favorable"
"121",80,"Strongly Favorable"
"122",99,"Strongly Favorable"
"123",96,"Strongly Favorable"
"124",71,"Lightly Favorable"
"125",98,"Strongly Favorable"
"126",75,"Lightly Favorable"
"127",51,"Lightly Favorable"
"128",60,"Lightly Favorable"
"129",63,"Lightly Favorable"
"130",97,"Strongly Favorable"
"131",91,"Strongly Favorable"
"132",89,"Strongly Favorable"
"133",79,"Strongly Favorable"
"134",77,"Strongly Favorable"
"135",100,"Strongly Favorable"
"136",76,"Strongly Favorable"
"137",50,"Unfavorable"
"138",54,"Lightly Favorable"
"139",100,"Strongly Favorable"
"140",100,"Strongly Favorable"
"141",79,"Strongly Favorable"
