"","score","asfeeling"
"1",89,"Strongly Favorable"
"2",97,"Strongly Favorable"
"3",75,"Lightly Favorable"
"4",89,"Strongly Favorable"
"5",90,"Strongly Favorable"
"6",100,"Strongly Favorable"
"7",91,"Strongly Favorable"
"8",1,"Strongly unfavorable"
"9",100,"Strongly Favorable"
"10",84,"Strongly Favorable"
"11",76,"Strongly Favorable"
"13",52,"Lightly Favorable"
"14",90,"Strongly Favorable"
"15",69,"Lightly Favorable"
"16",89,"Strongly Favorable"
"17",98,"Strongly Favorable"
"18",50,"Unfavorable"
"19",89,"Strongly Favorable"
"20",79,"Strongly Favorable"
"21",61,"Lightly Favorable"
"22",97,"Strongly Favorable"
"23",10,"Strongly unfavorable"
"24",80,"Strongly Favorable"
"25",68,"Lightly Favorable"
"26",80,"Strongly Favorable"
"27",90,"Strongly Favorable"
"28",95,"Strongly Favorable"
"29",61,"Lightly Favorable"
"30",70,"Lightly Favorable"
"31",100,"Strongly Favorable"
"32",20,"Strongly unfavorable"
"33",0,"Strongly unfavorable"
"34",35,"Unfavorable"
"35",80,"Strongly Favorable"
"36",74,"Lightly Favorable"
"37",26,"Unfavorable"
"38",15,"Strongly unfavorable"
"39",62,"Lightly Favorable"
"40",95,"Strongly Favorable"
"41",88,"Strongly Favorable"
"42",50,"Unfavorable"
"43",37,"Unfavorable"
"44",52,"Lightly Favorable"
"45",10,"Strongly unfavorable"
"46",8,"Strongly unfavorable"
"47",59,"Lightly Favorable"
"48",52,"Lightly Favorable"
"49",99,"Strongly Favorable"
"50",75,"Lightly Favorable"
"51",80,"Strongly Favorable"
"52",99,"Strongly Favorable"
"53",90,"Strongly Favorable"
"54",66,"Lightly Favorable"
"55",50,"Unfavorable"
"56",95,"Strongly Favorable"
"57",75,"Lightly Favorable"
"58",50,"Unfavorable"
"59",76,"Strongly Favorable"
"60",50,"Unfavorable"
"61",62,"Lightly Favorable"
"62",91,"Strongly Favorable"
"63",80,"Strongly Favorable"
"64",51,"Lightly Favorable"
"65",90,"Strongly Favorable"
"66",78,"Strongly Favorable"
"67",51,"Lightly Favorable"
"68",64,"Lightly Favorable"
"69",77,"Strongly Favorable"
"70",52,"Lightly Favorable"
"71",70,"Lightly Favorable"
"72",100,"Strongly Favorable"
"73",50,"Unfavorable"
"75",50,"Unfavorable"
"76",75,"Lightly Favorable"
"77",75,"Lightly Favorable"
"78",66,"Lightly Favorable"
"79",70,"Lightly Favorable"
"80",50,"Unfavorable"
"81",66,"Lightly Favorable"
"82",53,"Lightly Favorable"
"83",61,"Lightly Favorable"
"84",75,"Lightly Favorable"
"85",74,"Lightly Favorable"
"87",18,"Strongly unfavorable"
